CodEstacao,NomeEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
49330990,UHE XINGÓ RESERVATÓRIO 9,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.47110,-38.02220,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340000,UHE XINGÓ RESERVATÓRIO 8,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.49920,-37.99940,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340010,UHE XINGÓ RESERVATÓRIO 7,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.52580,-37.98940,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340020,UHE XINGÓ RESERVATÓRIO 6,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.54560,-37.91920,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340030,UHE XINGÓ RESERVATÓRIO 5,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.52780,-37.88940,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340040,UHE XINGÓ RESERVATÓRIO 4,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.56830,-37.86190,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340050,UHE XINGÓ RESERVATÓRIO 3,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.60610,-37.88000,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340060,UHE XINGÓ RESERVATÓRIO 2,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.60030,-37.84310,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340070,UHE XINGÓ RESERVATÓRIO 1,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.61830,-37.80030,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49340080,UHE XINGÓ BARRAMENTO,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.61810,-37.79000,30.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
