,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
4149,CGH BURICÁ BARRAMENTO,74549990,7,74,00170 - CERTHIL - CERTHIL,00170 - CERTHIL - CERTHIL,INHACORÁ-RS,-27.89690,-54.10720,281.00,74302000,RIO BURICÁ,Setor Elétrico,Ativo
4150,CGH BURICÁ JUSANTE,74550000,7,74,00170 - CERTHIL - CERTHIL,00170 - CERTHIL - CERTHIL,INHACORÁ-RS,-27.89140,-54.10280,264.00,74302000,RIO BURICÁ,Setor Elétrico,Ativo
4151,CASCATA BURICÁ NOVA,74600900,7,74,00266 - SEMA-RS - SEMA-RS,00266 - SEMA-RS - SEMA-RS,HORIZONTINA-RS,-27.52220,-54.23330,0.00,74302000,RIO BURICÁ,RHN,Ativo
4152,CGH BELA UNIÃO MONTANTE 2,74650000,7,74,00135 - COOPERLUZ - COOPERLUZ,00135 - COOPERLUZ - COOPERLUZ,GIRUÁ-RS,-27.87280,-54.32080,0.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4153,CGH BELA UNIÃO MONTANTE 1,74660000,7,74,00135 - COOPERLUZ - COOPERLUZ,00135 - COOPERLUZ - COOPERLUZ,GIRUÁ-RS,-27.83170,-54.35390,0.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4154,CGH BELA UNIÃO BARRAMENTO,74670000,7,74,00135 - COOPERLUZ - COOPERLUZ,00135 - COOPERLUZ - COOPERLUZ,SANTA ROSA-RS,-27.78170,-54.37360,0.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4155,CGH BELA UNIÃO JUSANTE,74675000,7,74,00135 - COOPERLUZ - COOPERLUZ,00135 - COOPERLUZ - COOPERLUZ,SANTA ROSA-RS,-27.77940,-54.37360,0.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4156,CGH SANTA ROSA BARRAMENTO,74690001,7,74,00007 - CEEE - CEEE,00007 - CEEE - CEEE,TRÊS DE MAIO-RS,-27.77140,-54.38890,182.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4157,CGH SANTA ROSA JUSANTE,74690100,7,74,00007 - CEEE - CEEE,00007 - CEEE - CEEE,TRÊS DE MAIO-RS,-27.77030,-54.38970,0.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4158,CGH SANTO ANTÔNIO BARRAMENTO,74694000,7,74,00135 - COOPERLUZ - COOPERLUZ,00135 - COOPERLUZ - COOPERLUZ,SANTA ROSA-RS,-27.73030,-54.40830,150.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4159,CGH SANTO ANTÔNIO JUSANTE,74695000,7,74,00135 - COOPERLUZ - COOPERLUZ,00135 - COOPERLUZ - COOPERLUZ,SANTA ROSA-RS,-27.72940,-54.40940,142.00,74303000,RIO SANTA ROSA,Setor Elétrico,Ativo
4160,PORTO MAUÁ,74720000,7,74,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,PORTO MAUA-RS,-27.57810,-54.68310,120.00,70001000,RIO URUGUAI,RHN,Ativo
4161,CERRO ALTO TUPARENDI,74761000,7,74,00266 - SEMA-RS - SEMA-RS,00266 - SEMA-RS - SEMA-RS,TUPARENDI-RS,-27.76610,-54.62360,0.00,74303200,RIO SANTO CRISTO,RHN,Ativo
4162,PORTO LUCENA,74800000,7,74,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,PORTO LUCENA-RS,-27.85250,-55.02560,83.00,70001000,RIO URUGUAI,CotaOnline,Ativo
4163,PORTO LUCENA,74800000,7,74,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,PORTO LUCENA-RS,-27.85250,-55.02560,83.00,70001000,RIO URUGUAI,RHN,Ativo
4164,SAN JAVIER (DNCPVN-564),74830000,7,74,00902 - ARGENTINA - Argentina,00902 - ARGENTINA - Argentina,ARGENTINA-AR,-27.88330,-55.13330,0.00,70001000,RIO URUGUAI,RHN,Ativo
4165,PCH JOSÉ BARASUOL MONTANTE,75050000,7,75,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,00167 - CERILUZ GERAÇÃO - CERILUZ GERAÇÃO,AJURICABA-RS,-28.27390,-53.64860,0.00,75101000,RIO IJUÍ,Setor Elétrico,Ativo
