BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraCodigo,OperadoraSigla,OperadoraUnidade,OperadoraSubUnidade,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoRegistradorNivelInicio,PeriodoRegistradorNivelFim,PeriodoDescLiquidaInicio,PeriodoDescLiquidaFim,PeriodoSedimentosInicio,PeriodoSedimentosFim,PeriodoQualAguaInicio,PeriodoQualAguaFim,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,Descricao,NumImagens,DataIns,DataAlt
8,83,,,23,SANTA CATARINA,23145000,RIO DO SUL,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749090,RIO DO SUL_Fundo Canoas,421480504,-27.198,-49.674,352,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23145000,RIO DO SUL,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749091,RIO DO SUL_Santa Rita,421480505,-27.176,-49.604,349,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23145000,RIO DO SUL,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749092,RIO DO SUL_Santana,421480506,-27.223,-49.627,503,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
7,71,,,23,SANTA CATARINA,23148400,RIO RUFINO,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749093,RIO RUFINO_Rio do Tigre,421505901,-27.8938,-49.7481,861,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,84,,,23,SANTA CATARINA,23154000,SANTA ROSA DE LIMA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749094,SANTA ROSA DE LIMA_Santa Bárbara,421560402,-27.9857,-49.2853,813,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
7,71,,,23,SANTA CATARINA,23186000,URUBICI,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749095,URUBICI_Esquina,421890503,-27.991,-49.588,892,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23189000,VIDAL RAMOS,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749096,VIDAL RAMOS_SC110-km08,421920001,-27.408,-49.39,614,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23189000,VIDAL RAMOS,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749097,VIDAL RAMOS_Centro,421920002,-27.391,-49.362,340,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23189000,VIDAL RAMOS,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749098,VIDAL RAMOS_Rio das Pacas,421920003,-27.409,-49.463,819,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,84,,,23,SANTA CATARINA,23009000,ANGELINA,15,CELESC,,,15,CELESC,,1,2,2749099,PCH GARCIA BARRAMENTO,,-27.5489,-49.0064,422,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2016-03-01 00:00:00,,,,,,,,,,2016-03-01 00:00:00,,0,1,0,0,0,6,0,0,0,2016-05-23 00:00:00,1,RES. ANA/ANEEL N. 0,0,2016-05-23 00:00:00,
